,Date,Open,High,Low,Close,Adj Close,Volume,Close_rolling_mean,Close_rolling_std,Close_Diff
0,2012-01-04,58.57143,59.240002,58.468571,59.062859,51.038536,65005500.0,,,0.3157160000000019
1,2012-01-05,59.278572,59.792858,58.952858,59.718571,51.605175,67817400.0,,,0.6557119999999941
2,2012-01-06,59.967144,60.392857,59.888573,60.342857,52.14463,79573200.0,,,0.624286000000005
3,2012-01-09,60.785713,61.107143,60.192856,60.247143,52.061932,98506100.0,,,-0.09571400000000096
4,2012-01-10,60.844284,60.857143,60.214287,60.462856,52.248333,64549100.0,,,0.21571300000000093
5,2012-01-11,60.382858,60.407143,59.901428,60.364285,52.163139,53771200.0,,,-0.09857099999999974
6,2012-01-12,60.325714,60.414288,59.82143,60.19857,52.019955,53146800.0,,,-0.16571500000000583
7,2012-01-13,59.957142,60.064285,59.808571,59.972858,51.824898,56505400.0,,,-0.22571199999999436
8,2012-01-16,59.957142,60.064285,59.808571,59.972858,51.824898,56505400.0,,,-0.22571199999999436
9,2012-01-17,59.957142,60.064285,59.808571,59.972858,51.824898,56505400.0,,,-0.22571199999999436
10,2012-01-18,60.994286,61.352856,60.900002,61.30143,52.972977,69197800.0,,,0.630001
11,2012-01-19,61.450001,61.624287,60.93,61.107143,52.805092,65434600.0,,,-0.19428700000000276
12,2012-01-20,61.07,61.07143,59.964287,60.042858,51.885387,103493600.0,,,-1.0642849999999981
13,2012-01-23,60.381428,61.207142,60.328571,61.058571,52.763115,76515600.0,,,1.015712999999998
14,2012-01-24,60.728573,60.728573,59.935715,60.058571,51.898972,136909500.0,,,-1.0
15,2012-01-25,60.728573,60.728573,59.935715,60.058571,51.898972,136909500.0,,,-1.0
16,2012-01-26,60.728573,60.728573,59.935715,60.058571,51.898972,136909500.0,,,-1.0
17,2012-01-27,63.477142,64.068573,63.395714,63.897144,55.216022,74927300.0,,,0.3785740000000004
18,2012-01-30,63.672855,64.842857,63.627144,64.715714,55.923389,94835300.0,,,0.8185700000000082
19,2012-01-31,65.084282,65.46286,64.724289,65.211426,56.351761,97920900.0,,,0.4957119999999975
20,2012-02-01,65.487144,65.57,65.078575,65.169998,56.315968,67511500.0,,,-0.041427999999996246
21,2012-02-02,65.128571,65.309998,64.854286,65.017143,56.183865,46699100.0,,,-0.1528550000000024
22,2012-02-03,65.328575,65.714287,65.080002,65.668571,56.746796,71649900.0,,,0.6514279999999957
23,2012-02-06,65.482857,66.425713,65.457146,66.281425,57.276386,62353200.0,,,0.6128539999999987
24,2012-02-07,66.464287,67.10714,66.368568,66.975716,57.876339,79055900.0,,,0.6942910000000069
25,2012-02-08,67.214287,68.112854,67.099998,68.097145,58.845402,101972500.0,,,1.121428999999992
26,2012-02-09,67.214287,68.112854,67.099998,68.097145,58.845402,101972500.0,,,1.121428999999992
27,2012-02-10,67.214287,68.112854,67.099998,68.097145,58.845402,101972500.0,,,1.121428999999992
28,2012-02-13,67.214287,68.112854,67.099998,68.097145,58.845402,101972500.0,,,1.121428999999992
29,2012-02-14,72.094284,72.794289,71.714287,72.779999,62.892056,115099600.0,,,0.9799959999999999
30,2012-02-15,72.094284,72.794289,71.714287,72.779999,62.892056,115099600.0,,,0.9799959999999999
31,2012-02-16,72.094284,72.794289,71.714287,72.779999,62.892056,115099600.0,,,0.9799959999999999
32,2012-02-17,72.094284,72.794289,71.714287,72.779999,62.892056,115099600.0,,,0.9799959999999999
33,2012-02-20,72.094284,72.794289,71.714287,72.779999,62.892056,115099600.0,,,0.9799959999999999
34,2012-02-21,72.094284,72.794289,71.714287,72.779999,62.892056,115099600.0,,,0.9799959999999999
35,2012-02-22,72.094284,72.794289,71.714287,72.779999,62.892056,115099600.0,,,0.9799959999999999
36,2012-02-23,73.582855,73.975716,72.785713,73.769997,63.747555,142006900.0,64.04276176666667,4.691959416818521,0.47856900000000735
37,2012-02-24,74.238571,74.699997,74.091431,74.629997,64.49073,103768000.0,64.57219023333333,4.962122559702132,0.8599999999999994
